,param_n_estimators,param_max_features,param_max_depth,params,mean_train_score,mean_test_score,keep
0,1,1,1,"{'max_depth': 1, 'max_features': 1, 'n_estimators': 1}",-0.768718212489699,-0.7388751024023305,1
1,3,1,1,"{'max_depth': 1, 'max_features': 1, 'n_estimators': 3}",-0.7033737753212483,-0.7201728913676513,1
2,5,1,1,"{'max_depth': 1, 'max_features': 1, 'n_estimators': 5}",-0.6702470725858147,-0.6912542473689529,1
3,7,1,1,"{'max_depth': 1, 'max_features': 1, 'n_estimators': 7}",-0.6661482857011765,-0.6728472663204268,1
4,10,1,1,"{'max_depth': 1, 'max_features': 1, 'n_estimators': 10}",-0.6710150807940372,-0.6813420019925682,1
5,15,1,1,"{'max_depth': 1, 'max_features': 1, 'n_estimators': 15}",-0.6665952850352651,-0.6770569255051138,1
6,20,1,1,"{'max_depth': 1, 'max_features': 1, 'n_estimators': 20}",-0.6697624483325428,-0.6809342355481959,1
7,50,1,1,"{'max_depth': 1, 'max_features': 1, 'n_estimators': 50}",-0.6612152761041108,-0.6732928984642081,1
8,1,5,1,"{'max_depth': 1, 'max_features': 5, 'n_estimators': 1}",-0.7396080950921003,-0.7748037202442836,1
9,3,5,1,"{'max_depth': 1, 'max_features': 5, 'n_estimators': 3}",-0.6639604906672241,-0.6854874898161699,1
10,5,5,1,"{'max_depth': 1, 'max_features': 5, 'n_estimators': 5}",-0.6666238322022374,-0.7045726532856664,1
11,7,5,1,"{'max_depth': 1, 'max_features': 5, 'n_estimators': 7}",-0.6502903265616362,-0.6880339137587728,1
12,10,5,1,"{'max_depth': 1, 'max_features': 5, 'n_estimators': 10}",-0.6455288529504524,-0.682100327680569,1
13,15,5,1,"{'max_depth': 1, 'max_features': 5, 'n_estimators': 15}",-0.6392527070279429,-0.6736740944291779,1
14,20,5,1,"{'max_depth': 1, 'max_features': 5, 'n_estimators': 20}",-0.6393570522338433,-0.6695317014299447,1
15,50,5,1,"{'max_depth': 1, 'max_features': 5, 'n_estimators': 50}",-0.6394612592015119,-0.6719570769741638,1
16,1,10,1,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 1}",-0.7408389701655796,-0.7907104949605683,1
17,3,10,1,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 3}",-0.6718074095021082,-0.6993311062802012,1
18,5,10,1,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 5}",-0.6451929125076127,-0.6654608813624957,1
19,7,10,1,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 7}",-0.6566472356470128,-0.7043476376721645,1
20,10,10,1,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 10}",-0.6455818314149828,-0.671967007570436,1
21,15,10,1,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 15}",-0.644824435607071,-0.6765061671860304,1
22,20,10,1,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 20}",-0.6434193109628797,-0.6725787477055872,1
23,50,10,1,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 50}",-0.6390046865964717,-0.6708464178205283,1
24,1,15,1,"{'max_depth': 1, 'max_features': 15, 'n_estimators': 1}",-0.7440817853232685,-0.7769119060546241,1
25,3,15,1,"{'max_depth': 1, 'max_features': 15, 'n_estimators': 3}",-0.6580619413048396,-0.6824418545394335,1
26,5,15,1,"{'max_depth': 1, 'max_features': 15, 'n_estimators': 5}",-0.6547882713718188,-0.6890247281129971,1
27,7,15,1,"{'max_depth': 1, 'max_features': 15, 'n_estimators': 7}",-0.6573841286210635,-0.6801644206673962,1
28,10,15,1,"{'max_depth': 1, 'max_features': 15, 'n_estimators': 10}",-0.6460760298358647,-0.6750401062247183,1
29,15,15,1,"{'max_depth': 1, 'max_features': 15, 'n_estimators': 15}",-0.6464873350059916,-0.6851031155972844,1
30,20,15,1,"{'max_depth': 1, 'max_features': 15, 'n_estimators': 20}",-0.6472038717318367,-0.675702190772366,1
31,50,15,1,"{'max_depth': 1, 'max_features': 15, 'n_estimators': 50}",-0.6387151278310944,-0.6705462196627165,1
32,1,20,1,"{'max_depth': 1, 'max_features': 20, 'n_estimators': 1}",-0.7427311098087096,-0.7509223145116388,1
33,3,20,1,"{'max_depth': 1, 'max_features': 20, 'n_estimators': 3}",-0.6769972624627638,-0.7093409615943578,1
34,5,20,1,"{'max_depth': 1, 'max_features': 20, 'n_estimators': 5}",-0.6509262645592077,-0.6771151553242477,1
35,7,20,1,"{'max_depth': 1, 'max_features': 20, 'n_estimators': 7}",-0.6578073265230577,-0.6900380489145439,1
36,10,20,1,"{'max_depth': 1, 'max_features': 20, 'n_estimators': 10}",-0.6554718278360078,-0.6927440802309239,1
37,15,20,1,"{'max_depth': 1, 'max_features': 20, 'n_estimators': 15}",-0.648842983101894,-0.6784346387309956,1
38,20,20,1,"{'max_depth': 1, 'max_features': 20, 'n_estimators': 20}",-0.6358428319018797,-0.6616580404666506,1
39,50,20,1,"{'max_depth': 1, 'max_features': 20, 'n_estimators': 50}",-0.6372146804653347,-0.666784476147522,1
40,1,1,3,"{'max_depth': 3, 'max_features': 1, 'n_estimators': 1}",-0.6002904510771012,-0.6752833673200898,0
41,3,1,3,"{'max_depth': 3, 'max_features': 1, 'n_estimators': 3}",-0.5307086879897621,-0.5691893471970049,1
42,5,1,3,"{'max_depth': 3, 'max_features': 1, 'n_estimators': 5}",-0.5230237779053586,-0.5461295472706935,1
43,7,1,3,"{'max_depth': 3, 'max_features': 1, 'n_estimators': 7}",-0.5195888773213533,-0.5800160414987505,0
44,10,1,3,"{'max_depth': 3, 'max_features': 1, 'n_estimators': 10}",-0.5083545052647105,-0.5616349847754465,1
45,15,1,3,"{'max_depth': 3, 'max_features': 1, 'n_estimators': 15}",-0.5051103046499202,-0.5530454636217647,1
46,20,1,3,"{'max_depth': 3, 'max_features': 1, 'n_estimators': 20}",-0.5018206623537841,-0.5448396857097897,1
47,50,1,3,"{'max_depth': 3, 'max_features': 1, 'n_estimators': 50}",-0.5004115501989063,-0.5481562388190164,1
48,1,5,3,"{'max_depth': 3, 'max_features': 5, 'n_estimators': 1}",-0.5471554865665,-0.6278845213984537,0
49,3,5,3,"{'max_depth': 3, 'max_features': 5, 'n_estimators': 3}",-0.4927206738298103,-0.5651859058242824,0
50,5,5,3,"{'max_depth': 3, 'max_features': 5, 'n_estimators': 5}",-0.48461676512995056,-0.5512159582315685,0
51,7,5,3,"{'max_depth': 3, 'max_features': 5, 'n_estimators': 7}",-0.48037371122166367,-0.5547416145945093,0
52,10,5,3,"{'max_depth': 3, 'max_features': 5, 'n_estimators': 10}",-0.47855930130155394,-0.5405549832063026,0
53,15,5,3,"{'max_depth': 3, 'max_features': 5, 'n_estimators': 15}",-0.47290749606893956,-0.5390121587839507,0
54,20,5,3,"{'max_depth': 3, 'max_features': 5, 'n_estimators': 20}",-0.4751867234036382,-0.5456304921783088,0
55,50,5,3,"{'max_depth': 3, 'max_features': 5, 'n_estimators': 50}",-0.47191521400789593,-0.535203824209278,0
56,1,10,3,"{'max_depth': 3, 'max_features': 10, 'n_estimators': 1}",-0.5448525749465578,-0.6207610960414781,0
57,3,10,3,"{'max_depth': 3, 'max_features': 10, 'n_estimators': 3}",-0.48973950083922657,-0.5565423090580285,0
58,5,10,3,"{'max_depth': 3, 'max_features': 10, 'n_estimators': 5}",-0.4846839546743237,-0.5605060697138569,0
59,7,10,3,"{'max_depth': 3, 'max_features': 10, 'n_estimators': 7}",-0.4784583805761252,-0.5536157700534676,0
60,10,10,3,"{'max_depth': 3, 'max_features': 10, 'n_estimators': 10}",-0.47791118901629626,-0.5515638610253701,0
61,15,10,3,"{'max_depth': 3, 'max_features': 10, 'n_estimators': 15}",-0.4759907936285467,-0.5488644546573035,0
62,20,10,3,"{'max_depth': 3, 'max_features': 10, 'n_estimators': 20}",-0.47452354093040644,-0.5448621719632786,0
63,50,10,3,"{'max_depth': 3, 'max_features': 10, 'n_estimators': 50}",-0.4715477004433114,-0.5375867523274105,0
64,1,15,3,"{'max_depth': 3, 'max_features': 15, 'n_estimators': 1}",-0.5496962856027217,-0.622752370149527,0
65,3,15,3,"{'max_depth': 3, 'max_features': 15, 'n_estimators': 3}",-0.49727091694541875,-0.5769995585888333,0
66,5,15,3,"{'max_depth': 3, 'max_features': 15, 'n_estimators': 5}",-0.4881644460737249,-0.5585644035801888,0
67,7,15,3,"{'max_depth': 3, 'max_features': 15, 'n_estimators': 7}",-0.48136514121969504,-0.5632526275375415,0
68,10,15,3,"{'max_depth': 3, 'max_features': 15, 'n_estimators': 10}",-0.47482616511965803,-0.5313743151512469,1
69,15,15,3,"{'max_depth': 3, 'max_features': 15, 'n_estimators': 15}",-0.47379768964356545,-0.5414514110038365,0
70,20,15,3,"{'max_depth': 3, 'max_features': 15, 'n_estimators': 20}",-0.4764082763491257,-0.5425500936267401,0
71,50,15,3,"{'max_depth': 3, 'max_features': 15, 'n_estimators': 50}",-0.47170849543866017,-0.5378194110717309,0
72,1,20,3,"{'max_depth': 3, 'max_features': 20, 'n_estimators': 1}",-0.5427903634802591,-0.6051417610292498,0
73,3,20,3,"{'max_depth': 3, 'max_features': 20, 'n_estimators': 3}",-0.4910528498198217,-0.5690904842702569,0
74,5,20,3,"{'max_depth': 3, 'max_features': 20, 'n_estimators': 5}",-0.48229343511129014,-0.5466585555683742,0
75,7,20,3,"{'max_depth': 3, 'max_features': 20, 'n_estimators': 7}",-0.48054706646927386,-0.5455914658311299,0
76,10,20,3,"{'max_depth': 3, 'max_features': 20, 'n_estimators': 10}",-0.47826970450251044,-0.5383558594239846,0
77,15,20,3,"{'max_depth': 3, 'max_features': 20, 'n_estimators': 15}",-0.47331592720406146,-0.5364996901579617,0
78,20,20,3,"{'max_depth': 3, 'max_features': 20, 'n_estimators': 20}",-0.4750919334284731,-0.5353772479309972,0
79,50,20,3,"{'max_depth': 3, 'max_features': 20, 'n_estimators': 50}",-0.4718368276742747,-0.5354344253332932,0
80,1,1,5,"{'max_depth': 5, 'max_features': 1, 'n_estimators': 1}",-0.5211041321746468,-0.6497519851374258,0
81,3,1,5,"{'max_depth': 5, 'max_features': 1, 'n_estimators': 3}",-0.438514663182871,-0.5688396587595238,0
82,5,1,5,"{'max_depth': 5, 'max_features': 1, 'n_estimators': 5}",-0.4127423016911903,-0.5358825736692554,0
83,7,1,5,"{'max_depth': 5, 'max_features': 1, 'n_estimators': 7}",-0.40998777163752465,-0.5267591962449383,0
84,10,1,5,"{'max_depth': 5, 'max_features': 1, 'n_estimators': 10}",-0.39394894518503426,-0.4992572529472298,0
85,15,1,5,"{'max_depth': 5, 'max_features': 1, 'n_estimators': 15}",-0.39650816873447214,-0.5130343266364196,0
86,20,1,5,"{'max_depth': 5, 'max_features': 1, 'n_estimators': 20}",-0.3957192403386426,-0.5084638253549116,0
87,50,1,5,"{'max_depth': 5, 'max_features': 1, 'n_estimators': 50}",-0.386350477671526,-0.49762282960448934,0
88,1,5,5,"{'max_depth': 5, 'max_features': 5, 'n_estimators': 1}",-0.46194349706980314,-0.5923304345150051,0
89,3,5,5,"{'max_depth': 5, 'max_features': 5, 'n_estimators': 3}",-0.36588383733646274,-0.5313229729349883,0
90,5,5,5,"{'max_depth': 5, 'max_features': 5, 'n_estimators': 5}",-0.3410865223803547,-0.5199266124165833,0
91,7,5,5,"{'max_depth': 5, 'max_features': 5, 'n_estimators': 7}",-0.34143497438877246,-0.5069895525270525,0
92,10,5,5,"{'max_depth': 5, 'max_features': 5, 'n_estimators': 10}",-0.33734029671317395,-0.5211306355325783,0
93,15,5,5,"{'max_depth': 5, 'max_features': 5, 'n_estimators': 15}",-0.33178208969290923,-0.48768938678416013,0
94,20,5,5,"{'max_depth': 5, 'max_features': 5, 'n_estimators': 20}",-0.3311995630362759,-0.4974413093494081,0
95,50,5,5,"{'max_depth': 5, 'max_features': 5, 'n_estimators': 50}",-0.3255230986953869,-0.4871758950344841,0
96,1,10,5,"{'max_depth': 5, 'max_features': 10, 'n_estimators': 1}",-0.46541095116550635,-0.627414655036538,0
97,3,10,5,"{'max_depth': 5, 'max_features': 10, 'n_estimators': 3}",-0.36956406274033604,-0.5367379945517484,0
98,5,10,5,"{'max_depth': 5, 'max_features': 10, 'n_estimators': 5}",-0.3459988212569295,-0.5177428782250019,0
99,7,10,5,"{'max_depth': 5, 'max_features': 10, 'n_estimators': 7}",-0.3357451930701904,-0.49402240143892484,0
100,10,10,5,"{'max_depth': 5, 'max_features': 10, 'n_estimators': 10}",-0.3369100265961956,-0.4891859767223294,0
101,15,10,5,"{'max_depth': 5, 'max_features': 10, 'n_estimators': 15}",-0.32882919728762444,-0.49548038153278445,0
102,20,10,5,"{'max_depth': 5, 'max_features': 10, 'n_estimators': 20}",-0.33024921880483404,-0.5084655057809438,0
103,50,10,5,"{'max_depth': 5, 'max_features': 10, 'n_estimators': 50}",-0.32553606025056436,-0.4940016275954071,0
104,1,15,5,"{'max_depth': 5, 'max_features': 15, 'n_estimators': 1}",-0.46698737667689566,-0.6476814031241396,0
105,3,15,5,"{'max_depth': 5, 'max_features': 15, 'n_estimators': 3}",-0.3663016995650952,-0.5362098325513057,0
106,5,15,5,"{'max_depth': 5, 'max_features': 15, 'n_estimators': 5}",-0.34940228184031563,-0.5197530764492214,0
107,7,15,5,"{'max_depth': 5, 'max_features': 15, 'n_estimators': 7}",-0.33995143043943205,-0.5038719853635842,0
108,10,15,5,"{'max_depth': 5, 'max_features': 15, 'n_estimators': 10}",-0.33495441169288387,-0.5137474966162962,0
109,15,15,5,"{'max_depth': 5, 'max_features': 15, 'n_estimators': 15}",-0.3252331561084693,-0.5112192121348491,0
110,20,15,5,"{'max_depth': 5, 'max_features': 15, 'n_estimators': 20}",-0.3290814322854888,-0.5057568845785121,0
111,50,15,5,"{'max_depth': 5, 'max_features': 15, 'n_estimators': 50}",-0.32573063851999334,-0.4873034125697635,0
112,1,20,5,"{'max_depth': 5, 'max_features': 20, 'n_estimators': 1}",-0.4751852168728556,-0.6230765879325414,0
113,3,20,5,"{'max_depth': 5, 'max_features': 20, 'n_estimators': 3}",-0.36283922522086065,-0.5649252291268992,0
114,5,20,5,"{'max_depth': 5, 'max_features': 20, 'n_estimators': 5}",-0.3516126549076969,-0.5666571115148644,0
115,7,20,5,"{'max_depth': 5, 'max_features': 20, 'n_estimators': 7}",-0.34375049264045554,-0.5265265866348173,0
116,10,20,5,"{'max_depth': 5, 'max_features': 20, 'n_estimators': 10}",-0.3352317847874583,-0.5103097059093635,0
117,15,20,5,"{'max_depth': 5, 'max_features': 20, 'n_estimators': 15}",-0.33010780302895965,-0.48262495334040345,0
118,20,20,5,"{'max_depth': 5, 'max_features': 20, 'n_estimators': 20}",-0.33267302639314805,-0.49367116723300375,0
119,50,20,5,"{'max_depth': 5, 'max_features': 20, 'n_estimators': 50}",-0.3233733435364849,-0.49240451629395016,0
120,1,1,7,"{'max_depth': 7, 'max_features': 1, 'n_estimators': 1}",-0.4677952254406629,-0.6215346260752392,0
121,3,1,7,"{'max_depth': 7, 'max_features': 1, 'n_estimators': 3}",-0.32575686507000506,-0.5449813790435248,0
122,5,1,7,"{'max_depth': 7, 'max_features': 1, 'n_estimators': 5}",-0.3045831136971241,-0.5175034578706068,0
123,7,1,7,"{'max_depth': 7, 'max_features': 1, 'n_estimators': 7}",-0.2831727082301301,-0.522911940634718,0
124,10,1,7,"{'max_depth': 7, 'max_features': 1, 'n_estimators': 10}",-0.27553935246847017,-0.5057222449990573,0
125,15,1,7,"{'max_depth': 7, 'max_features': 1, 'n_estimators': 15}",-0.2755021610094423,-0.4678274934091874,0
126,20,1,7,"{'max_depth': 7, 'max_features': 1, 'n_estimators': 20}",-0.2753448798040413,-0.48979305283467534,0
127,50,1,7,"{'max_depth': 7, 'max_features': 1, 'n_estimators': 50}",-0.26326016639326444,-0.4775274515293727,0
128,1,5,7,"{'max_depth': 7, 'max_features': 5, 'n_estimators': 1}",-0.38507463581948637,-0.7766169704598561,0
129,3,5,7,"{'max_depth': 7, 'max_features': 5, 'n_estimators': 3}",-0.25747537437945167,-0.5766038124525205,0
130,5,5,7,"{'max_depth': 7, 'max_features': 5, 'n_estimators': 5}",-0.22843369843270184,-0.5475560791937126,0
131,7,5,7,"{'max_depth': 7, 'max_features': 5, 'n_estimators': 7}",-0.22193365328963438,-0.5082025227464649,0
132,10,5,7,"{'max_depth': 7, 'max_features': 5, 'n_estimators': 10}",-0.2092921883301722,-0.5003215227500297,0
133,15,5,7,"{'max_depth': 7, 'max_features': 5, 'n_estimators': 15}",-0.20270093578261994,-0.515325924711819,0
134,20,5,7,"{'max_depth': 7, 'max_features': 5, 'n_estimators': 20}",-0.201926014697414,-0.4775083359154224,0
135,50,5,7,"{'max_depth': 7, 'max_features': 5, 'n_estimators': 50}",-0.19061928102792486,-0.4891239292691215,0
136,1,10,7,"{'max_depth': 7, 'max_features': 10, 'n_estimators': 1}",-0.4243751230453561,-0.7868446206139192,0
137,3,10,7,"{'max_depth': 7, 'max_features': 10, 'n_estimators': 3}",-0.25918084276298764,-0.6037523761816186,0
138,5,10,7,"{'max_depth': 7, 'max_features': 10, 'n_estimators': 5}",-0.2306720744097702,-0.5220257139247497,0
139,7,10,7,"{'max_depth': 7, 'max_features': 10, 'n_estimators': 7}",-0.21814158752806617,-0.5143718617576108,0
140,10,10,7,"{'max_depth': 7, 'max_features': 10, 'n_estimators': 10}",-0.21122985558521337,-0.48889622265888955,0
